Gene	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20
ANK1	0.3917537	0.43339667	0.38630518	0.2731026	0.48881114	0.26007298	0.48178384	0.48577085	0.18813013	0.2652749	0.04824512	0.5018465	0.586084	0.43200415	0.3229108	0.29078993	0.6118298	0.28971386	0.3525859	0.05923619
ANK2	3.9700675	3.6963942	3.9373324	2.810664	4.5311084	4.492524	4.9602804	2.6422157	1.9203213	0.8579794	0.9873311	3.688581	1.9010323	1.3566644	2.3384209	2.4189193	1.2598002	2.299859	2.0665946	1.9035817
ANK3	16.78204	21.150444	16.690166	22.17702	20.25265	14.350724	19.476175	36.615307	41.50431	21.522253	28.374767	24.342989	26.489721	22.306961	21.885275	20.025623	53.850483	24.862354	24.05698	22.460176
ANKAR	2.3709514	1.179222	1.2235278	2.4629653	1.025704	1.5662067	1.5309165	3.749082	2.713125	1.0792073	0.924954	0.9524334	1.1609021	1.01073	2.319618	1.5417184	0.5274482	2.0838094	1.14611	3.576861
ANKDD1A	0.6494167	0.5535185	0.99079466	0.5172845	0.932655	1.103728	1.4834507	0.3324247	0.6528847	0.4479412	0.5335318	1.0026209	0.42210254	0.37152967	0.81547904	0.42712954	0.27422705	0.2924968	0.2847604	0.8155657
ANKDD1B	2.652724	1.2404203	1.8599374	2.304719	1.2961423	1.876708	1.901493	3.127232	2.973167	2.13394	2.1201823	2.017744	2.6236613	1.424931	5.225305	1.953251	1.338928	1.910672	1.923804	4.4244466
ANKEF1	3.7021117	2.8973808	2.381997	2.11519	2.7888417	2.505414	3.2133918	2.793653	2.66285	1.68024	2.9955962	3.473731	2.8680387	2.437585	3.04314	2.703609	2.4761457	2.665487	2.838287	3.421812
ANKFY1	14.162368	11.131101	10.087898	9.918075	11.342291	10.744274	9.703278	13.971761	14.173916	8.78994	10.313493	9.718419	10.102446	11.341991	14.451153	10.649254	10.269845	11.695701	11.137042	11.287337
ANKHD1-EIF4EBP3	6.754668	5.5415845	7.5706897	6.727725	6.6536913	5.3364186	5.154663	7.2174993	7.9116755	5.866052	7.0167127	4.258339	3.9817107	5.5490074	5.481057	6.4009914	6.6441393	5.8516235	4.349486	5.9913664
ANKHD1	34.367157	26.8366	29.426569	25.381664	28.197052	19.956392	30.060362	29.134901	34.124474	24.139568	25.22935	22.30753	22.34037	20.592472	27.811245	23.791988	22.069254	22.550516	25.099981	26.557802
ANKH	39.354668	30.959394	37.356606	36.20838	34.533516	42.00745	28.603409	62.317112	38.866585	42.757996	53.295998	48.18962	57.75748	29.881008	39.009914	45.41845	45.53917	40.5988	34.76579	38.152153
ANKIB1	11.872112	8.185584	9.371177	9.640797	10.624737	7.9047647	8.680732	12.499596	12.429613	7.3054156	10.634298	10.362142	10.91815	8.7152405	10.962627	9.561472	8.24937	10.290293	9.027887	11.1402025
ANKLE2	14.191675	11.008224	14.84415	11.766643	14.0591545	12.012991	14.199771	14.441561	15.442663	14.449061	13.141661	14.107786	12.076843	12.481972	11.803236	12.84972	9.586446	12.008323	15.329203	17.14272
ANKMY1	3.6240642	3.8462622	3.942675	4.13998	3.2728956	5.134876	5.2411346	5.4613338	5.108115	3.964368	4.0369744	6.1735773	2.5268145	3.16545	5.9940925	3.8136015	2.4234395	3.1246707	1.806506	5.201259
ANKMY2	16.556572	11.291764	11.36824	11.865661	13.990441	13.822833	9.796202	21.889572	16.621534	11.702175	16.539366	15.2826605	14.190298	17.318003	17.83558	15.416298	12.047483	14.866665	11.681258	16.123278
ANKRA2	10.334078	7.5449204	10.228144	12.124802	10.554775	9.977916	9.058045	18.474926	20.629688	17.605831	15.176606	13.752618	9.350871	11.586593	15.43597	16.162786	8.109852	9.650064	7.319246	18.210781
ANKRD10	94.943344	55.169445	67.179985	75.80886	86.67213	51.75095	68.955605	96.018585	132.24716	67.27925	113.18817	80.634476	40.96702	37.97915	60.113373	71.72525	30.500134	41.465687	38.48906	110.85317
ANKRD11	18.11403	15.236457	17.924427	17.951813	19.645914	16.238293	17.497541	24.170553	24.121258	16.411047	18.530533	21.883488	20.573206	16.16262	20.10776	19.85903	17.375732	19.830307	19.52294	23.880524
ANKRD12	8.341573	6.2259254	8.101105	7.5662932	7.7757163	5.616057	5.1196966	13.978645	13.444394	7.4456515	8.170143	9.465048	9.127067	6.9211397	10.238346	7.9971952	8.793725	9.186312	9.102438	10.356178
ANKRD13A	30.668524	20.990353	23.441105	24.310442	27.826021	21.232512	17.365765	32.15305	31.161028	21.801426	27.083721	26.17138	28.511967	29.573719	34.188335	26.216753	24.357122	22.676119	25.08453	26.05792
ANKRD13B	1.271603	0.47625	1.051749	0.97943	0.920893	1.040949	0.923386	0.658786	0.920382	0.60427994	0.987113	0.5493949	0.408866	0.8973344	0.6013833	0.8659964	0.348529	0.39676	0.7206876	1.1202354
ANKRD13C	12.175369	8.22117	8.348031	6.561974	9.501934	10.171646	8.904042	12.612098	12.022127	8.736291	10.825125	10.96792	10.79049	9.282364	10.869166	10.086501	8.2226515	10.985055	12.05284	10.590812
ANKRD13D	6.1644297	3.3734431	8.256966	7.599003	7.48043	4.933304	6.1844187	5.3581805	6.883426	5.8869705	4.150848	5.638097	5.420479	5.2466264	4.9418273	5.348812	3.396267	3.2652872	2.7279494	7.838283
ANKRD16	2.385185	2.0988934	1.8144095	2.1825757	2.5694923	3.3015573	2.210269	2.238806	2.698001	1.4617773	2.9009001	2.721857	2.9919937	2.002781	3.728419	3.4487612	2.089195	3.048135	1.703227	2.4749978
ANKRD17	17.931679	15.6572	13.18323	14.70866	13.953742	12.365876	14.546411	16.515604	16.820318	10.321766	12.06784	13.262648	11.333854	11.652845	15.237713	13.658158	11.91286	15.117279	14.075745	11.357225
ANKRD18A	2.089838	0.27772233	1.341022	1.6343735	1.7486526	0.3177879	0.751085	1.109976	1.6679869	1.0154289	1.7826507	1.414108	0.5697549	0.20045039	1.6538802	0.7180083	0.4122682	0.593958	0.102357015	2.3862624
ANKRD22	12.551301	14.033009	6.073002	6.1226907	7.8723145	14.2949	7.3922668	11.565884	14.247142	9.200241	11.998838	9.9369	11.332801	12.158899	9.651653	29.769033	12.662101	9.275349	21.770643	11.028242
ANKRD23	1.0306183	0.4978391	0.7493826	0.9774758	0.8206093	0.4370905	0.668955	0.6048584	1.157059	0.6562584	0.8215716	0.53967595	0.44540823	0.1688559	1.0487766	0.5545005	0.11528201	0.292202	0.09231919	0.7003553
ANKRD26	2.5140207	1.3368293	1.6642	1.744048	2.068317	1.578451	1.290579	3.1210456	2.8059871	1.430134	1.9670061	1.582308	1.354991	1.037999	1.9069182	1.8596168	1.276494	1.843897	1.28717	2.63705
ANKRD27	10.836657	10.450907	10.825793	9.469951	12.7425785	9.647832	9.156508	14.946616	13.456407	9.307982	13.430657	12.488643	13.905997	13.421005	13.876723	11.216427	11.122469	13.888389	10.972929	13.2163925
ANKRD28	17.022959	13.08933	12.820661	10.794851	13.610688	12.481582	11.744572	15.779246	12.446557	10.0483465	16.623623	13.997078	13.488048	13.230925	15.890843	14.24928	11.502205	13.585232	13.945127	14.909189
ANKRD29	1.107222	0.60441	1.3522881	1.4671699	1.5909117	0.8332259	1.257806	1.1432899	0.6074608	1.0868526	0.5471288	2.1491864	0.9246167	0.82966	0.91274	0.9914348	0.8174367	0.9897622	0.902927	1.684334
ANKRD33B	0.681665	0.47188103	1.00004	0.41812003	1.02523	0.558533	0.915802	0.45479	0.22076298	0.22320998	0.154259	1.03574	0.485031	0.285931	0.711984	0.44956902	0.3438462	0.44828397	0.5459535	0.306093
ANKRD36B	2.532535	1.8358324	1.985297	2.120677	1.1172696	0.8499792	1.9751942	1.272228	3.5967698	1.6653179	1.5562042	0.82506454	0.713731	0.54675	1.4450083	0.931249	0.4420141	0.305878	0.49730358	2.1272848
ANKRD36C	1.2836285	0.49846962	0.3999552	0.98742443	0.6170397	0.33322242	0.6554756	1.792454	1.398472	0.598221	0.52723354	0.8026383	0.6353501	0.7535881	0.9006257	0.5951556	0.2521113	0.3528551	0.24543972	1.056104
ANKRD36	2.7220254	0.9397403	1.5838127	2.771221	1.4617188	1.0596399	2.2161157	1.0859672	3.4171681	1.6357073	0.9943411	1.4123325	0.8650677	1.7794886	1.8286831	1.9836836	0.4812132	0.8040381	1.0142621	3.182521
ANKRD37	3.8275967	5.4267697	3.6795647	6.679405	6.3863826	5.926806	2.6703753	7.1971107	6.0674844	4.5843487	8.023523	12.60141	7.372002	8.207516	2.8118703	4.126989	6.305634	7.546968	8.883053	4.063205
