Gene	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20
A1BG	3.5588596	2.2320316	1.661229	3.229844	4.5095534	7.3416705	5.2408137	2.555302	1.924394	1.5332592	1.6265286	5.525447	2.6791599	2.7901208	2.7155194	2.230483	2.401857	1.880906	1.4686407	2.4351664
A1CF	9.969004	10.505444	6.5654964	11.372966	7.2905917	15.538795	6.019337	19.330578	16.586298	14.464707	12.205987	11.466941	12.247146	12.537664	10.864507	15.144036	12.29161	15.428282	14.498883	10.6901
A2M	106.752625	107.153206	92.42162	83.95586	107.420044	121.739525	138.73666	56.32213	35.549427	21.397589	33.125656	38.975517	26.676126	44.366486	65.38851	36.885914	46.430386	49.381912	28.35656	44.74726
A4GALT	3.5487406	2.655698	3.487333	1.7275727	3.3205068	2.4132907	4.895684	2.04926	0.9512767	1.372656	0.7551453	2.439644	1.6644902	1.4749471	2.1212306	1.4302003	1.446984	2.714893	1.887412	2.14163
AAAS	14.76544	13.208346	14.306307	18.551142	14.04436	15.339136	11.434652	16.060692	20.286879	17.166021	14.866631	15.310058	10.054189	16.698935	15.720665	21.805208	15.165073	16.34473	14.1593485	18.143229
AACS	17.364302	14.24265	11.771996	12.2068205	11.782441	21.819656	13.690424	13.68697	18.470102	14.065304	16.3577	14.050454	15.471286	20.412539	15.300448	17.042368	14.028816	15.382171	17.55941	13.911245
AADAT	2.51184	1.781737	1.483827	1.109236	1.065647	2.753289	1.492184	1.699413	2.643923	1.431422	1.889702	0.962694	1.274598	1.7548839	1.322749	1.8076799	0.982651	1.55916	1.520933	1.4526867
AAED1	2.368556	2.1424773	1.87258	1.925806	2.577689	2.074857	3.172638	1.7051	1.2994132	0.887878	1.61909	2.837545	1.0460391	1.398074	1.748908	2.240605	1.587742	1.652211	1.383217	1.792688
AAGAB	34.123344	32.0637	28.136456	21.72545	24.916252	37.31867	22.20464	36.36624	37.839954	31.83525	28.050037	27.386953	41.186073	47.23993	33.51793	39.456936	31.207893	34.083004	43.183086	32.160755
AAK1	8.27213	7.0365787	7.943292	5.799432	7.728408	6.5847945	7.5109797	11.367148	9.134424	6.8112736	6.6157575	6.504066	9.196246	6.5816917	8.2472515	5.450452	10.626321	5.1854253	10.816614	8.189601
AAMDC	23.892967	17.8436	22.636797	21.187113	27.326834	28.539978	23.854649	32.73671	27.748526	24.18015	34.092907	30.024895	36.477665	28.990776	35.549507	26.716248	30.53465	30.259682	17.61171	32.706264
AAMP	59.91244	62.324112	60.721687	57.098087	62.473988	82.79952	57.65477	82.13286	73.32684	65.858505	75.39223	73.44431	87.88635	73.72047	76.179016	79.95046	72.127106	78.29738	74.64994	75.92544
AAR2	13.936529	12.204166	11.361383	8.658692	12.716241	12.821866	14.058061	12.795773	11.193471	8.136074	12.524288	12.761235	13.456295	12.536636	14.423886	12.665681	12.362174	13.120615	11.703891	12.3035145
AARS2	6.067575	5.2862897	4.5138106	5.97216	4.09639	4.9768205	5.36067	5.3349195	6.3152075	5.7433	4.84695	4.49731	7.0877404	4.8589573	4.38487	5.43792	4.94062	7.1401396	5.6485195	5.116602
AARSD1	18.651823	13.944915	10.183222	15.541289	11.507155	17.744993	13.53342	12.65509	16.225899	13.868609	14.830654	13.206448	16.839937	13.314435	15.516227	24.93469	11.827133	12.744836	13.045955	17.497044
AARS	22.657532	22.604088	20.076422	16.744835	20.027603	18.452126	21.067753	14.756831	16.452196	11.367265	14.613275	15.123689	13.605003	16.720795	14.969407	19.457502	16.280285	17.04135	16.719551	14.900965
AASDHPPT	12.594036	9.342945	8.595749	6.499073	11.029994	9.721201	10.997472	15.804948	11.755052	6.8067193	13.141547	14.865461	10.912917	10.297449	11.774441	11.782426	9.94745	13.228374	11.6635	9.532514
AASDH	3.614479	3.0657165	2.814575	2.724195	3.233039	3.657542	2.5662558	4.4885755	4.584576	2.749315	3.9656248	3.281929	2.818408	2.934084	3.7416341	4.9860106	2.5400753	3.873684	2.575107	3.601227
AASS	1.3107463	1.0119965	1.421641	1.9597018	1.6620791	0.96647024	1.508814	1.3298161	1.286211	0.3491128	0.595959	0.9225746	0.495184	0.540216	0.9206967	0.759091	0.333699	0.760379	0.3565026	1.2960788
AATF	15.40385	14.95147	16.260956	13.159581	16.709352	15.894544	14.440122	17.578688	14.946769	12.0272455	16.211906	15.525499	13.817736	16.485657	15.656594	19.312332	15.866452	16.26845	14.289302	15.819536
AATK	3.869064	3.4525962	2.4547532	1.7923468	1.8650173	0.39301082	2.29806	2.812699	3.629507	5.019434	1.8151824	2.041243	2.054556	2.87492	2.410804	1.2450552	2.7880661	2.593013	2.8375762	2.920008
ABAT	7.210518	3.512036	5.915641	5.5851674	7.7529635	5.52443	5.195135	8.356274	9.995383	6.770934	5.423019	8.112031	7.8826323	8.092131	10.05165	6.10838	7.4268823	7.5131993	6.262311	10.369569
ABCA10	1.485096	0.9673699	2.2074854	2.4339273	1.4244891	0.3668778	1.2528712	1.6230206	2.598504	1.7452359	1.5913595	0.5325942	0.6078697	0.7945913	1.3791262	1.1490035	0.1834319	0.5062737	0.25772318	2.27476
ABCA12	0.012907	0.10931616	0.021573499	0.010000001	0.052947607	0.011254302	0.035914503	0.0176628	0.11011191	0.010000001	0.010000001	0.010202698	0.010000001	0.1800794	0.0622083	0.012691996	0.0421928	0.019217798	0.028476296	0.043450996
ABCA1	3.5252602	2.334627	3.7888396	3.270405	4.4148917	2.25729	4.226428	4.4976616	2.8574097	2.04391	2.704492	3.22303	1.8618001	1.546918	4.90038	3.0988889	3.303452	4.1371064	2.1505113	3.1861548
ABCA2	12.668874	9.269654	10.503198	19.091612	9.398962	11.712126	12.278828	10.432529	18.53683	17.929825	12.136469	7.258092	8.709478	9.191259	12.201012	6.7312226	10.042998	9.169763	6.0755606	19.933386
ABCA3	1.0577333	0.936609	1.1472157	0.6309802	1.574634	0.87231	1.442749	1.5560548	0.8928077	0.570372	0.6903745	1.60591	1.045173	0.70487	1.1021531	0.634377	0.8266966	1.09888	0.8859894	0.77726763
ABCA5	17.893055	12.384632	14.345574	19.914143	19.198698	13.931419	17.24069	27.181166	30.109245	19.994864	25.161678	15.945713	16.494394	16.025875	20.025253	16.661901	13.535661	13.505802	11.374847	20.647663
ABCA6	1.1586679	0.5178901	1.6168932	1.3377529	1.3553281	0.8563829	2.0470388	1.5390117	1.0692993	0.550319	0.9413022	0.7506116	0.7454125	0.6251633	0.7440589	0.6262805	0.5263481	0.7269187	0.43321168	0.7723853
ABCA7	2.2400923	0.8175295	3.4945269	4.0902934	3.939998	1.905995	2.6498747	2.5331016	2.4910607	1.9384377	1.3225445	3.2619202	1.4908643	1.9271096	2.470484	1.1456463	1.1977042	1.619863	1.4306694	2.064536
ABCA8	16.62526	8.856059	12.641384	12.37481	15.032526	8.683013	17.765434	7.6821146	5.889584	3.6695943	3.1973872	3.6569085	3.4439747	3.534116	8.136167	3.800326	3.6849566	8.075039	3.09396	5.9324875
ABCA9	0.93600726	0.4054535	0.5137657	1.542645	0.4154818	0.25753304	0.7624893	0.4452503	1.640101	0.6247597	0.3246201	0.2268409	0.2663032	0.42988425	0.7337826	0.33524704	0.20981511	0.18190642	0.059452105	0.7612461
ABCB10	10.134958	8.476147	7.011294	6.802813	8.039917	9.093399	6.55477	9.985517	10.224425	6.5521154	8.928938	9.422459	9.398389	11.729901	10.784399	12.1585	7.805664	9.38773	11.937245	9.970159
ABCB1	17.258295	45.369568	47.654488	33.9208	29.01659	23.812796	28.43865	74.6725	40.499676	52.56031	39.095055	18.68082	58.78286	22.943754	23.26502	24.942009	49.077995	25.509972	72.789696	50.244812
ABCB4	1.053826	0.7094835	1.1536769	0.44518057	1.545252	1.0937566	0.851092	1.055005	0.3154693	0.35592642	0.2931708	1.3935816	0.57213	0.44605	0.65213	0.872139	0.7320183	0.581027	0.33226746	0.68711
ABCB6	4.1633987	3.4101763	3.3313844	4.3925962	2.6434433	5.2459087	1.9924909	3.8029485	5.1986313	3.7413268	2.002304	2.316817	2.6665776	5.8268723	2.8980947	6.599738	3.7936563	3.4111104	3.79685	2.701887
ABCB7	9.098288	10.446226	8.762608	7.5356207	9.023937	11.100927	9.0601425	12.606674	13.1742735	10.62091	10.974944	12.64407	10.619793	10.711601	11.512008	11.415967	10.013836	12.740602	12.380158	11.656459
ABCB8	8.789804	9.044716	7.8712554	10.015613	7.4951615	14.286147	6.064874	10.694323	15.004017	10.038821	9.371728	9.512543	8.567298	13.924891	7.0665164	13.58554	9.139723	9.257484	11.099165	9.82985
ABCB9	1.4838969	1.2662936	0.972257	1.8448209	1.3250475	1.8388284	1.0973635	1.9345978	2.4421616	1.5005307	1.7891324	1.3144166	1.9963841	1.7939727	1.4211574	1.6882862	2.065432	1.0493171	1.5013424	1.7372853
ABCC10	6.1653824	4.721992	2.7729418	7.245341	5.328999	4.1844635	4.503773	5.587766	6.671688	4.1588364	4.59422	4.0065236	3.880324	4.5453043	4.7993937	5.410494	5.2836103	4.09419	4.573496	7.4822044
ABCC1	4.845571	3.0078712	3.9244032	5.239149	4.750088	4.411571	4.507343	4.0404224	3.023932	2.080164	2.637788	4.6208935	2.775057	2.821269	3.8693247	4.111329	2.405281	3.1772437	2.9765027	2.9830937
ABCC3	38.934666	30.225145	42.39999	57.723507	23.02096	31.882256	37.295673	39.47119	69.24905	55.271744	35.10089	27.772995	41.427425	32.7691	48.735725	42.55199	34.04496	30.154459	33.092686	47.94266
ABCC4	8.791494	16.750824	6.160249	4.3324027	7.471731	6.8192406	5.410811	9.018268	2.35784	4.0734525	6.5552306	6.3156023	2.9428709	2.631049	12.298087	7.186185	4.809346	4.4935913	3.4946246	3.969291
ABCC5	5.646393	6.8546224	5.615354	7.44838	6.499508	3.94972	5.332162	8.71031	11.394773	11.64296	7.0236425	5.359823	4.7108026	4.228993	4.9311705	5.854511	4.534034	5.5101786	8.44693	9.26073
ABCC6	6.4150825	7.2134333	4.666457	8.104145	5.4487677	9.555648	5.568985	7.749596	9.568611	7.468682	9.0827465	6.597895	7.425576	8.524552	7.0395203	5.475623	6.071908	8.264762	7.3795886	6.833908
ABCC8	1.1246053	0.4210298	0.56780624	1.2835193	1.1162966	0.45706704	0.38872835	1.40753	1.2680994	1.1345063	1.1524196	0.6511854	1.0753356	0.9395592	0.9231642	0.4476703	0.37387854	2.1353512	1.2786492	0.5910693
ABCC9	1.0037509	0.9309886	0.7580908	0.7084339	0.7378727	0.7314585	0.9464662	0.628551	0.9470917	0.577226	0.6427472	0.46272904	0.550249	0.514749	0.6734807	0.44575846	0.5778302	0.62220603	0.40017298	0.6546058
ABCD1	3.8135006	3.9756057	5.564046	3.626334	4.919933	5.0675716	3.682568	5.4986196	4.8339686	3.995982	3.328895	4.9316506	4.226834	5.608646	5.318808	5.4980283	4.4172807	4.0853915	4.856654	3.7801259
ABCD3	48.345116	41.442776	39.133774	36.252533	35.694775	61.86274	27.275454	70.64809	77.42391	52.033016	56.186344	51.315613	66.72422	62.022346	51.28816	66.237495	57.692074	57.53338	72.76032	53.043095
ABCD4	16.765696	15.814269	17.039948	21.727549	21.325361	16.284449	16.00632	31.922525	26.728542	25.705935	25.516447	19.51158	29.424078	27.935598	26.35382	20.923862	24.339827	20.262753	14.172318	25.647131
ABCE1	22.466436	18.394905	13.774314	13.182501	16.443695	17.141228	18.514292	17.389309	15.279658	9.87725	15.886059	18.00675	15.61683	13.923635	18.209167	20.271235	12.408347	18.646006	18.97818	18.59257
ABCF1	26.624113	26.185925	22.371183	18.18482	23.59701	21.904682	23.916235	26.544638	28.331968	18.878849	25.759193	20.422108	22.470638	22.55994	26.441776	28.916342	26.294378	23.213612	26.096567	26.921265
ABCF2	15.64184	14.073032	13.01572	13.113483	16.84238	13.285045	15.178531	22.085627	14.660544	12.054445	14.978081	13.003442	18.050112	14.609383	12.072461	17.264366	12.263603	13.794219	16.050085	16.514845
ABCF3	18.316406	15.076363	16.644745	20.114027	16.221106	17.247353	16.84552	17.423534	22.0411	16.692604	19.50211	15.665078	17.641743	19.936495	18.243319	19.606441	13.980094	17.855028	16.68758	19.280342
ABCG1	10.3420315	17.350521	20.736023	12.922775	23.11111	9.422108	17.747305	28.259106	18.696083	17.717749	22.9048	17.843216	19.060196	15.172271	24.086847	13.411924	24.288403	12.974013	16.12945	20.378744
ABCG2	31.43015	31.158247	37.12369	36.962444	10.463985	41.609165	13.019016	42.052654	36.783234	57.95013	27.759588	26.216122	48.331615	20.29475	41.155483	49.21353	67.0128	34.339863	58.923496	36.150898
ABHD10	14.130172	11.101309	8.909766	11.00523	11.987982	15.316409	9.804729	13.968561	13.329937	9.748679	13.486289	16.149315	11.009572	12.230697	14.135188	18.918964	10.90904	15.317359	13.065699	13.82903
ABHD11	42.792366	37.56419	38.31735	37.982777	33.42434	37.459595	31.072857	38.75802	53.734135	56.162746	46.50506	36.04028	53.255444	53.47364	42.161976	52.374653	38.474953	47.12109	51.96137	57.42551
ABHD12B	11.609593	6.0075727	7.0093684	4.3498116	2.9916384	8.068461	1.9038291	6.755404	5.174583	8.671957	7.2959676	10.632635	5.921073	0.053549506	3.7385392	13.864444	9.786681	8.570689	5.8185067	13.190498
ABHD12	21.098505	25.958067	35.292442	25.816923	32.471935	31.700602	22.251402	35.958847	33.479855	29.252039	31.981318	31.039722	29.120132	38.29165	35.07891	30.50345	42.709972	25.61262	34.240036	33.51208
ABHD13	6.94839	4.67964	4.8128	4.11488	5.6333694	5.1502404	6.94655	6.23648	6.10452	4.32107	4.97337	7.08016	7.437391	5.8336296	5.1740503	6.19059	4.68009	6.52978	6.96131	7.4531794
ABHD14A	8.743467	7.7618237	8.07211	6.3723845	9.335531	8.076411	9.43544	6.918952	8.616844	6.350107	7.6261625	9.211564	7.3971944	8.66282	9.199699	7.7413645	7.355836	7.3526287	7.129224	8.105657
ABHD14B	49.211807	44.014675	49.340862	45.81372	53.50907	57.807632	52.419193	59.88916	55.39311	46.91225	56.207294	65.89352	70.04677	55.972115	66.28388	58.59873	48.04347	71.00787	35.788097	56.88745
ABHD15	8.00995	5.67727	7.6433496	5.60248	7.7217693	8.26578	6.7879195	8.473221	7.30395	6.3785806	7.7083106	8.241811	10.6357	9.252279	8.12506	7.254	7.3362093	7.7869606	7.90728	8.109139
ABHD16A	21.556797	22.26577	23.578796	26.921005	23.819715	31.968624	20.881983	32.255337	38.06045	31.306679	34.69836	30.444317	35.447727	30.949213	32.899643	33.834694	29.6834	27.34229	28.99828	36.002625
ABHD17A	24.860365	21.041107	25.374609	28.45498	28.722769	34.101448	23.946537	27.01866	26.095118	23.487629	24.295092	29.965866	30.542442	30.635872	24.96106	29.176685	27.245647	26.859573	28.192421	27.000732
ABHD17B	14.880019	11.16972	11.70246	8.89118	12.002859	11.391621	15.084493	17.50627	19.65129	11.431329	13.36307	22.148502	13.943532	12.969521	19.854881	15.755542	15.527421	12.5928	29.196499	29.101736
ABHD17C	63.393826	56.868294	59.82504	50.96717	54.49171	78.718315	47.514717	96.43991	89.111694	75.25102	72.93295	67.42849	80.628456	79.2112	78.417366	84.268364	95.21505	67.418015	93.79569	73.63302
ABHD18	7.1255217	4.13669	4.197977	5.5434265	4.698607	5.8626504	2.774076	9.355333	5.533599	5.695025	6.388136	6.186861	6.613494	6.6005454	5.8656816	7.9635096	4.24653	5.941295	5.9287534	7.209902
ABHD2	16.745665	21.752928	16.072205	12.862727	15.224808	18.943993	16.316969	24.333376	21.23252	12.805738	13.826587	16.895185	16.03058	17.258352	18.142443	13.94441	19.592806	16.822264	28.677473	16.865944
ABHD3	60.65052	53.576992	76.80431	72.09252	58.64209	60.4132	34.78832	113.076294	97.345924	109.06125	79.68043	61.452713	111.28422	107.25554	120.956345	92.11642	109.58489	64.1457	124.01571	118.264305
ABHD4	7.330203	6.465934	7.761454	9.905393	7.65039	7.575897	5.869864	13.327142	10.005816	7.1727376	11.040573	9.399927	9.665933	7.928197	9.020869	8.651812	10.187785	7.615293	8.355518	8.786845
ABHD5	10.997359	9.197504	8.831462	11.971415	9.168231	13.384364	8.266522	22.86531	14.733146	9.772055	12.487371	14.132066	16.472372	14.894995	13.017323	20.261354	15.73105	11.96765	14.21998	11.105491
ABHD6	11.163197	9.316531	10.284278	8.576459	9.5920105	10.002841	7.9711595	15.054525	11.07387	12.076532	10.928384	10.691057	15.223834	12.136505	8.242482	14.127942	10.3771105	10.391089	15.556985	12.41481
ABHD8	2.516686	1.775281	2.504769	2.24598	3.3057797	2.379	2.42635	2.172206	2.3850648	1.02119	1.6808538	2.80321	4.098005	1.83897	2.0822	2.085146	2.43425	2.4329	1.694236	2.391746
ABI1	31.847176	27.018078	28.428444	27.6622	32.992832	29.500969	24.342161	43.598816	34.7848	26.906862	32.362476	38.57964	39.820652	41.276794	37.158356	39.33294	31.788273	34.132336	39.025173	36.126198
ABI2	6.4033318	5.910014	5.5066056	4.804883	6.7848005	4.7043176	7.6131825	5.0518265	4.8398185	2.8805358	5.051335	4.430824	4.5998726	3.7498019	4.2968745	5.666645	4.312442	5.172113	3.9933605	5.4515204
ABI3BP	27.54816	16.089935	20.59431	18.40988	22.936657	20.277239	24.539751	11.347113	7.343537	2.9031396	3.969095	6.228639	5.9978886	3.8789558	10.521472	3.9223123	5.2448883	9.661878	3.8382916	9.588379
ABI3	5.5587125	5.1022415	6.1889043	5.3491817	9.657107	4.1005764	6.312984	5.8193097	2.283711	2.1399195	3.5998693	7.371713	4.798182	5.2031274	4.455442	5.4286294	6.335224	5.510621	3.873627	4.1424365
ABL1	22.621382	21.009684	21.100325	18.128172	19.547909	21.37011	22.573805	32.686672	28.232714	15.406248	26.168335	26.215263	26.45292	19.965767	28.444666	22.19797	23.031403	27.995762	25.153988	24.19717
ABL2	2.3077798	2.1347072	2.1760383	1.9013448	1.9262888	1.5371065	2.670024	1.8884898	2.1208515	1.5437485	1.4873585	2.2787	1.8095286	1.358957	1.922884	1.7990141	1.5453743	2.055599	2.137738	1.9127173
ABLIM1	37.690582	38.33512	35.81227	29.195032	37.066532	32.591835	33.049194	49.126797	50.57103	36.091206	33.1781	46.270447	32.199673	34.077034	40.765316	38.758034	34.650158	40.635357	41.228527	41.43753
ABLIM2	3.6023288	3.351817	4.64866	4.6238995	5.7132854	8.451605	3.3046024	6.6761	9.207992	4.846101	6.681523	5.076408	4.9120655	9.157976	4.4154916	6.4605055	8.547137	5.249427	5.1204085	7.0562377
ABLIM3	2.4918408	2.6038725	2.1858532	1.8865201	2.8206942	1.7154667	2.2351224	1.9606969	0.93589	0.8354058	0.8911062	1.9326752	1.170977	1.1330637	1.4876605	1.3671609	1.254269	1.6403944	1.4409432	1.6737641
ABO	18.86436	12.179712	58.960804	29.8036	44.473587	31.006306	44.417194	24.00782	46.795498	15.880268	39.049995	39.6597	74.82562	39.3349	19.538645	91.11242	36.8401	15.121879	35.9651	21.08981
ABRACL	96.316505	60.585506	74.00583	77.060905	77.54689	134.62602	73.06537	138.91359	111.44802	102.96011	99.80999	93.29688	139.661	144.61497	99.8482	157.33102	110.18201	86.23619	148.49005	86.48784
ABR	55.820087	36.187576	50.83487	66.90909	45.999454	48.340805	41.850826	62.07647	75.39036	53.421566	52.18972	46.311436	45.793694	54.52603	59.307804	47.62775	45.90087	51.544754	44.447887	64.64844
ABT1	10.356398	7.48212	8.0208	6.81278	8.277121	10.286301	8.474479	9.231529	8.197699	6.89879	8.64121	10.9574995	10.629201	10.825599	9.471869	11.046601	9.02395	9.678279	9.544848	9.005059
ABTB1	7.5454	4.957187	9.820219	9.293401	12.3768835	8.674365	8.143071	11.49072	10.575038	8.283883	8.888744	11.325914	7.8126307	6.7077994	9.899388	8.328273	7.5892315	7.7511306	5.1504283	14.896841
ABTB2	3.2971203	4.05719	3.8172498	2.9320602	4.3849	3.29807	4.1353197	4.9267898	6.2399907	5.2588096	4.00864	2.6688302	5.5690694	7.1662507	5.1108603	4.34241	8.162099	4.59988	7.522039	6.1760397
AC002398.9	2.28841	1.04305	1.89062	1.64002	1.95852	2.0150497	0.28491598	1.64886	0.732121	0.442611	1.47495	1.16533	2.71078	2.1390898	0.010000001	1.22187	1.66561	2.67699	1.68279	0.698471
AC004076.7	0.010000001	0.010000001	0.433396	0.962479	0.474954	0.904034	0.010000001	0.010000001	1.20528	0.41679698	0.513323	0.56937	0.010000001	0.010000001	1.14065	0.010000001	0.252533	0.010000001	0.269328	1.40327
AC004381.6	1.836776	1.512203	0.912382	1.6624541	0.9597167	1.5310512	1.3957053	1.64298	2.735486	1.2729752	1.4432638	1.3651721	1.104179	2.3552463	1.925648	3.3747869	1.3184986	1.576888	1.4636012	2.0916216
AC004813.1	5.8363605	3.85409	5.2423105	8.277831	4.4295206	3.3090498	2.39373	4.06478	5.19047	4.9391	3.73026	5.08615	4.60696	2.2212	3.40894	3.2015498	2.04863	2.23896	1.59227	5.31026
AC004824.2	1.31151	0.69301	0.872084	0.984175	0.731404	0.010000001	2.52347	1.06116	2.79841	0.727224	0.010000001	1.61216	0.010000001	0.010000001	1.64011	0.010000001	0.669423	2.40382	0.010000001	2.19306
AC005943.2	11.066901	7.5684605	7.2112403	7.1533403	6.671961	3.3929002	4.04194	6.79773	8.156071	7.690689	7.5796003	10.1515	8.194949	4.12884	5.9042897	8.785218	6.4682	8.284539	5.0654707	6.85873
AC006449.2	11.833	5.58721	7.41058	9.404379	12.820402	8.585679	9.27465	6.17259	6.28488	8.496889	9.16722	10.354801	9.53166	6.3244495	10.837402	4.22964	6.2073197	2.4855	6.8769894	13.156702
AC007326.1	3.03775	0.010000001	5.17431	2.06517	4.24807	1.41142	3.6605203	4.08351	0.010000001	0.457755	1.53281	0.010000001	6.90649	3.40141	4.2291007	1.30571	5.5310397	3.40202	2.0689	0.654595
AC008522.1	3.6358597	2.89734	4.0558205	4.97433	4.6343794	3.57361	4.43137	3.7775798	5.27422	2.20964	1.42216	4.43088	3.3821	1.79633	3.2705	3.44599	1.2482	5.43632	0.988064	3.95939
AC008759.1	2.50544	0.010000001	0.010000001	1.1452	0.010000001	0.010000001	0.010000001	0.010000001	0.010000001	0.548444	0.010000001	0.010000001	0.010000001	0.010000001	0.010000001	0.010000001	0.010000001	0.010000001	0.010000001	1.76807
AC008810.1	4.4199195	3.47769	3.57392	3.91197	6.8023205	4.5080595	3.8896098	2.55836	6.292759	4.10095	5.71547	4.15198	1.85553	1.62832	3.5160403	2.21969	2.22135	1.42866	3.6885502	4.2327604
AC008914.1	1.43298	0.010000001	0.010000001	0.010000001	0.010000001	0.010000001	0.010000001	3.0159297	0.010000001	1.25604	1.39491	0.010000001	0.010000001	0.957404	0.010000001	0.010000001	0.010000001	3.2908099	0.010000001	1.42905
AC009022.1	2.4286	0.010000001	0.010000001	0.010000001	0.010000001	0.010000001	0.010000001	0.010000001	0.010000001	0.010000001	0.010000001	0.010000001	3.4458597	0.010000001	2.9692698	3.10754	0.010000001	3.57343	0.010000001	0.010000001
AC009060.2	7.5873604	7.78307	10.2142	8.581689	7.3559394	6.99907	6.6398597	9.70639	11.9419	8.615641	9.905879	7.4457893	7.4594193	7.825119	11.2825985	6.9092298	7.21448	6.19791	6.82986	13.422698
AC009060.3	0.762091	2.22259	0.010000001	0.010000001	0.7506	0.010000001	0.509347	0.582358	1.95852	1.09632	0.454074	0.779776	0.010000001	0.010000001	0.818413	2.61645	0.265479	0.010000001	0.010000001	1.81639
AC009133.22	0.010000001	0.818733	0.010000001	0.948207	4.69321	6.308689	0.010000001	1.24287	0.17567399	0.458274	0.650446	0.836535	2.05188	7.34199	1.95685	1.91473	6.04822	1.75936	2.6536603	3.3040898
AC009950.1	0.010000001	0.499919	2.2795	0.035169203	1.2374	0.432298	0.010000001	2.64008	1.26594	0.010000001	1.27355	0.0197023	0.738908	1.28817	1.19062	1.60127	2.25923	0.405393	1.2936	0.605179
AC009977.1	3.0126498	0.010000001	0.010000001	2.48144	0.010000001	0.010000001	0.010000001	1.34835	0.010000001	1.22349	0.010000001	0.010000001	0.010000001	0.010000001	1.75566	0.010000001	1.00311	0.010000001	1.42439	0.010000001
AC011513.3	0.010000001	0.622659	1.89292	1.82706	0.580576	0.010000001	0.010000001	0.887212	1.04718	1.0288	1.15454	0.010000001	0.010000001	0.45735103	0.842906	0.010000001	0.587603	0.010000001	0.829067	0.010000001
AC013461.1	6.6533165	6.4639945	4.017805	2.8545194	6.244768	4.988299	7.2308636	5.7586784	5.2355285	2.7871194	1.765055	4.094148	3.4815154	2.551758	6.770296	5.3711915	3.8842788	4.723508	5.1021194	6.003943
AC015688.3	0.07280251	0.100197	0.264713	0.708085	0.010000001	0.010000001	0.010000001	0.059925005	0.187792	0.010000001	0.010000001	0.718001	0.010000001	0.09025409	0.464245	0.010000001	0.652043	0.0234697	0.491941	0.010000001
AC016142.1	0.416477	2.10016	0.911963	0.258838	0.528225	0.939069	0.72033	0.987088	0.478697	0.935595	0.557417	1.54367	2.1077	1.3397	1.75637	0.48463398	0.681359	2.11548	0.092452005	2.13482
AC016577.1	0.465776	0.545631	0.9057	0.010000001	2.02037	0.631215	0.010000001	0.010000001	0.440327	0.010000001	0.010000001	0.010000001	0.010000001	0.738749	1.22547	1.07919	0.010000001	0.010000001	0.010000001	1.66956
AC017081.1	3.10981	1.19972	4.85469	5.18266	5.34872	5.16593	0.26030403	1.4519	3.1709497	1.96999	3.52165	1.30773	1.82246	1.27983	2.61897	2.9470599	1.1293	0.865827	2.66649	0.525404
AC019206.1	0.010000001	0.575969	1.21144	3.2271998	1.11368	0.010000001	0.010000001	0.010000001	0.655182	0.010000001	0.010000001	2.11134	0.010000001	0.010000001	0.889554	2.38074	1.89866	0.951466	0.882036	0.010000001
AC021106.1	0.797516	0.656185	0.780649	0.772994	0.559309	1.4315	0.737153	0.912642	0.947034	0.36552802	1.5782	0.570805	0.776892	0.762353	1.75029	0.729604	1.20696	0.47949	0.547101	0.804402
AC026248.1	1.09938	0.569087	1.64155	0.429693	1.44644	1.10312	1.47714	1.88976	0.010000001	0.010000001	1.63932	1.1851	1.70525	0.942618	0.648996	1.19317	0.271787	0.474863	0.744873	1.17088
AC068533.7	4.18794	3.25712	3.58808	1.82297	3.15686	0.010000001	1.81617	2.61925	3.39006	1.38119	3.5839298	2.03968	3.50066	0.743663	3.8873398	2.65513	1.82026	3.27192	2.19292	3.66193
AC073333.1	11.086899	8.09086	6.70096	20.890003	7.9725795	6.96383	5.0046697	12.2482	12.5085	14.273399	8.723139	6.4686995	8.712251	12.046	7.499149	8.86159	7.7295995	9.480949	14.896502	10.419099
AC073657.1	2.5558598	1.32242	2.19639	1.83066	0.677699	3.55582	2.75783	1.23434	0.010000001	0.010000001	2.44626	0.010000001	0.942165	2.9649796	2.00732	0.894934	0.762674	0.010000001	2.33833	0.010000001
AC087350.1	1.39506	2.62623	6.2346597	1.80609	1.3816	1.08742	0.010000001	2.70553	3.17258	1.07326	0.010000001	0.010000001	3.41532	1.9132	0.010000001	4.18272	0.933875	0.010000001	0.010000001	0.010000001
AC090154.1	2.12743	0.648015	3.1903498	1.80345	0.010000001	3.2678702	4.4012694	1.43247	4.94073	0.988155	1.16561	0.010000001	0.0259053	0.010000001	0.010000001	0.010000001	0.88616	2.73017	0.010000001	0.010000001
AC090498.1	6.54845	3.8006597	7.86858	7.0469394	6.56492	19.5752	15.402799	5.2960405	5.9664106	7.42605	7.6220202	11.040601	5.8783298	16.3693	10.687499	8.249031	7.48673	8.0353	6.2904196	6.35962
AC091180.1	0.010000001	0.010000001	0.010000001	1.66573	1.67893	0.010000001	3.8704903	2.30985	1.53571	1.73183	5.1197896	0.010000001	0.010000001	2.52498	0.010000001	6.0802593	0.010000001	0.010000001	0.010000001	3.8653798
